Date(UTC);UnixTimeStamp;ETH_BlockDifficulty;BTC_BlockDifficulty;BTC_Price;ETH_Price;ETH_NetworkHash;ETH_TxGrowth;ETH_GasUsed;ETH_NetworkUtilization;BTC_NetworkHash;ETH_DailyActiveEthAddress
31.7.2015;1438300800;0.603;52278304845.5917;288.45;0.00;51.4594;0;0;0.0000;376078.94597712;0
3.8.2015;1438560000;1.126;52278304845.5917;282.26;0.00;74.5737;0;0;0.0000;384246.50452746224;0
6.8.2015;1438819200;1.381;52278304845.5917;281;0.00;88.3326;0;0;0.0000;377563.95662263676;0
9.8.2015;1439078400;1.709;52699842409.347;262.22;0.74;109.6916;1329;38863003;0.0024;368785.4996865437;733
12.8.2015;1439337600;2.207;52699842409.347;270.98;1.25;143.0004;2036;70102332;0.0044;388746.1136641017;907
15.8.2015;1439596800;3.378;52699842409.347;265.93;1.79;227.6650;2284;59565914;0.0035;381356.8742491674;1314
18.8.2015;1439856000;4.378;52699842409.347;256.66;1.27;270.4645;2494;66816413;0.0043;365264.28779900644;1295
21.8.2015;1440115200;4.415;52699842409.347;235.31;1.44;277.2820;3919;106379973;0.0067;385847.82860735216;1426
24.8.2015;1440374400;5.179;54256630327.89;228.14;1.24;333.3458;4432;97648912;0.0060;399023.0436724837;1437
27.8.2015;1440633600;5.925;54256630327.89;225.04;1.13;341.1168;5590;147888097;0.0100;400167.10305827536;1592
30.8.2015;1440892800;6.781;54256630327.89;229.63;1.32;340.1440;4572;102643603;0.0079;407263.8701419768;1625
2.9.2015;1441152000;8.284;54256630327.89;227.97;1.29;355.9032;5195;139367393;0.0124;413043.39526225085;1515
5.9.2015;1441411200;6.235;56957648455.01;230.73;1.37;374.9170;5519;159443421;0.0103;415387.58116583165;1487
8.9.2015;1441670400;6.077;56957648455.01;240.47;1.23;370.7395;5622;159613715;0.0103;415620.8830386149;1546
11.9.2015;1441929600;6.562;56957648455.01;238.81;0.98;421.6556;6460;160019709;0.0099;431987.7009136632;1702
14.9.2015;1442188800;6.626;56957648455.01;230;0.87;399.6471;5572;171636301;0.0113;427538.38938739896;1623
17.9.2015;1442448000;6.040;56957648455.01;228.33;0.89;362.1457;5368;147106346;0.0097;429156.32085149473;1518
20.9.2015;1442707200;6.202;59335351233.8666;230.25;0.94;408.7480;6402;206446103;0.0124;414405.2594535765;1467
23.9.2015;1442966400;6.895;59335351233.8666;230.42;0.90;438.8619;7404;198471252;0.0122;410138.50502978667;1738
26.9.2015;1443225600;7.227;59335351233.8666;235.22;0.78;440.6371;5907;160320021;0.0104;430216.77298296755;1421
29.9.2015;1443484800;6.057;59335351233.8666;239.14;0.68;347.3122;5738;155322802;0.0107;448756.9669215088;1533
2.10.2015;1443744000;5.982;60813224039.4403;238.03;0.68;378.4969;6063;175336965;0.0109;441993.62506882334;1376
5.10.2015;1444003200;6.285;60813224039.4403;238.4;0.63;385.5859;6279;217225401;0.0138;453468.788130199;1410
