Date;ETH_Gas_Price
31.7.2015;0
3.8.2015;0
6.8.2015;0
9.8.2015;4,75467E+11
12.8.2015;4,44902E+11
15.8.2015;1,44369E+11
18.8.2015;1,46513E+11
21.8.2015;79543407701
24.8.2015;92409814705
27.8.2015;59307091958
30.8.2015;55155494457
2.9.2015;59243651401
5.9.2015;54768144366
8.9.2015;64932639811
11.9.2015;55713802958
14.9.2015;53772389657
17.9.2015;55637920883
20.9.2015;52910345407
23.9.2015;51732832046
26.9.2015;55315658061
29.9.2015;55437141860
2.10.2015;52567714347
5.10.2015;50742818443
8.10.2015;56971870131
11.10.2015;56318375319
14.10.2015;57976429615
17.10.2015;53619552703
20.10.2015;53767556518
23.10.2015;51207267003
26.10.2015;54585998170
29.10.2015;52364630378
1.11.2015;50751088484
4.11.2015;52243136362
7.11.2015;51944373853
10.11.2015;52237284910
13.11.2015;51534479321
16.11.2015;56768038418
19.11.2015;54119551224
22.11.2015;53793371733
25.11.2015;54235748106
28.11.2015;54312682973
1.12.2015;54837947431
4.12.2015;53920215595
7.12.2015;53988885934
10.12.2015;54938250098
13.12.2015;56701649126
16.12.2015;54026271431
19.12.2015;53891713881
22.12.2015;53627121090
25.12.2015;53550792729
28.12.2015;53108130511
31.12.2015;57661175081
3.1.2016;53342341402
6.1.2016;53724486418
9.1.2016;53277018400
12.1.2016;54526276152
15.1.2016;57562550443
18.1.2016;53945900879
21.1.2016;60639283859
24.1.2016;58951408559
27.1.2016;58687046251
30.1.2016;67198755701
2.2.2016;65763607541
5.2.2016;68267066894
8.2.2016;80464718771
11.2.2016;66426480457
14.2.2016;53479540613
17.2.2016;54601880947
20.2.2016;53778238540
23.2.2016;61016867321
26.2.2016;54600904591
29.2.2016;58416492222
3.3.2016;56545945782
6.3.2016;47260765636
9.3.2016;38089619702
12.3.2016;29197411911
15.3.2016;26342144976
18.3.2016;26302902480
21.3.2016;26198708915
24.3.2016;24817035022
27.3.2016;23366025518
30.3.2016;29356903690
2.4.2016;22939736669
5.4.2016;22855001812
8.4.2016;23663537901
11.4.2016;23659454582
14.4.2016;25758426765
17.4.2016;23167419890
20.4.2016;23244541703
23.4.2016;23328772911
26.4.2016;24013247909
29.4.2016;22517844341
2.5.2016;23735031560
5.5.2016;24293386757
8.5.2016;23310345000
11.5.2016;23627226077
14.5.2016;23703052414
17.5.2016;22852181919
20.5.2016;23617555647
23.5.2016;23047905809
26.5.2016;22614164987
29.5.2016;23677018969
1.6.2016;22687558792
4.6.2016;22562926511
7.6.2016;23737534493
10.6.2016;22804128940
13.6.2016;22759240658
16.6.2016;23212696396
19.6.2016;22736174769
22.6.2016;23017973391
25.6.2016;22497935939
28.6.2016;22584213073
1.7.2016;22618172634
4.7.2016;22445903080
7.7.2016;22363551641
10.7.2016;22296567527
13.7.2016;22106770557
16.7.2016;22453905433
